"var","categoria","Sergio Massa a presidente por Unión por la Patria","Patricia Bullrich a presidenta por Juntos por el Cambio","Javier Milei a presidente por la Libertad Avanza","Los candidatos a presidente de la Izquierda","Juan Schiaretti a presidente por Hacemos por Nuestro Pais","En blanco"
"P05","Mucho",0.402,0.388,0.338,0.207,0.126,0.588
"P05","Bastante",0.304,0.25,0.372,0.292,0.147,0.245
"P05","Poco",0.253,0.279,0.183,0.016,0,0.084
"P05","Nada",0.034,0.078,0.107,0.322,0.453,0.083
"P05","No sabe",0.007,0.005,0,0.163,0.274,0
"P06","Siempre",0.323,0.19,0.138,0,0.006,0.067
"P06","Casi siempre",0.362,0.297,0.309,0.187,0.211,0.251
"P06","Casi nunca",0.222,0.371,0.347,0.41,0.783,0.514
"P06","Nunca, pero esta es una excepción",0.093,0.142,0.206,0.403,0,0.168
"P09","Unión por la Patria",0.528,0.067,0.074,0.091,0,0
"P09","Juntos por el Cambio",0.062,0.744,0.148,0,0.006,0
"P09","De los Liberales libertarios",0.151,0.099,0.592,0.107,0.274,0
"P09","De la Izquierda",0.034,0.01,0.05,0.525,0.025,0
"P09","Hacemos por nuestro país",0.012,0.012,0.008,0,0.651,0.083
"P09","Otro",0.075,0.021,0.036,0.098,0.015,0.084
"P09","En blanco",0.027,0.009,0.052,0,0.029,0.362
"P09","No sabe",0.111,0.038,0.04,0.179,0,0.471
"P12_imputada","Sergio Massa a presidente, Axel Kicillof a gobernador y Gustavo Menéndez a intendente por Unión por la Patria",0.638,0.103,0.107,0.07,0,0.168
"P12_imputada","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y David Zencich a intendente por Juntos por el Cambio",0.119,0.688,0.173,0.042,0,0
"P12_imputada","Javier Milei a presidente, Carolina Piparo a gobernadora  y Eduardo Varela a intendente por la Libertad Avanza",0.071,0.179,0.663,0,0,0
"P12_imputada","Raul Othacehé a intendente por el frente vecinal crecer",0.116,0.017,0.017,0.115,0.295,0.067
"P12_imputada","Los candidatos a presidente, gobernador e intendente de la Izquierda",0.041,0.002,0.013,0.503,0.08,0
"P12_imputada","Juan Schiaretti a presidente por Hacemos por Nuestro Pais",0.001,0,0,0,0.596,0
"P12_imputada","En blanco",0.014,0.011,0.027,0.27,0.029,0.765
"P19_imputada","Axel Kicillof a gobernador por Unión por la Patria",0.765,0.078,0.107,0.16,0.246,0.291
"P19_imputada","Néstor Grindetti a gobernador por Juntos por el Cambio",0.071,0.713,0.303,0.155,0.038,0.043
"P19_imputada","Carolina Piparo a gobernadora por la Libertad Avanza",0.136,0.183,0.563,0,0.014,0.464
"P19_imputada","El candidato a gobernador de la Izquierda",0.013,0.016,0.023,0.341,0.312,0
"P19_imputada","En blanco",0.015,0.01,0.004,0.344,0.39,0.202
"P22_imputada","Gustavo Menéndez a intendente por Unión por la Patria",0.42,0.22,0.173,0.178,0.591,0.204
"P22_imputada","Zencich a intendente por Juntos por el Cambio",0.164,0.566,0.35,0,0.052,0
"P22_imputada","Eduardo Varela a intendente por la Libertad Avanza",0.042,0.082,0.34,0.225,0.012,0
"P22_imputada","Raul Othacehé a intendente por el frente vecinal crecer",0.248,0.102,0.118,0.23,0.334,0.204
"P22_imputada","El candidato a intendente de la Izquierda",0.077,0.013,0.017,0.262,0.011,0
"P22_imputada","En blanco",0.049,0.017,0.002,0.105,0,0.592
"P25","Totalmente seguro",0.606,0.601,0.725,0.039,0.507,0.231
"P25","Bastante seguro",0.216,0.201,0.103,0.051,0.328,0
"P25","Algo seguro",0.094,0.143,0.042,0.154,0,0.123
"P25","Para nada seguro",0.084,0.055,0.13,0.756,0.165,0.646
"P26","Tiene Decidido que va a ir a votar",0.899,0.875,0.922,0.539,0.694,0.364
"P26","Tiene dudas sobre si va a ir a  votar",0.07,0.075,0.07,0.035,0.306,0.099
"P26","Tiene Decidido que no va a ir a votar",0.031,0.05,0.008,0.426,0,0.537
"P27","Con políticas de shock, mano dura y castigando a los corruptos y ladrones",0.243,0.655,0.694,0.371,0.401,0.164
"P27","Con políticas muy estudiadas y progresivas  para que las transformaciones de fondo necesarias se puedan realizar",0.108,0.153,0.103,0.014,0.127,0
"P27","Con políticas de desarrollo que permitan el crecimiento con inclusión social",0.363,0.06,0.092,0.085,0,0.138
"P27","Con políticas que limiten los privilegios de los que más tienen y favorezcan a los sectores más vulnerables",0.193,0.06,0.04,0.047,0.472,0
"P27","Con políticas revolucionarias que permitan la transformación igualitaria de la sociedad apoyándose en las mayorías populares",0.015,0.022,0.014,0.302,0,0.164
"P27","No sabe",0.078,0.05,0.057,0.181,0,0.534
"P28","Lo votaría",0.487,0.106,0.121,0,0.179,0
"P28","Puede que lo vote",0.22,0.152,0.08,0.379,0.455,0
"P28","Nunca lo votaría",0.126,0.717,0.752,0.39,0.366,0.762
"P28","No sabe",0.167,0.025,0.047,0.231,0,0.238
"P29","Lo votaría",0.208,0.655,0.183,0,0,0
"P29","Puede que lo vote",0.04,0.185,0.334,0.315,0.354,0
"P29","Nunca lo votaría",0.619,0.133,0.421,0.473,0.634,0.788
"P29","No sabe",0.133,0.027,0.062,0.212,0.012,0.212
"P30","Lo votaría",0.131,0.134,0.637,0,0,0
"P30","Puede que lo vote",0.081,0.278,0.222,0.205,0.324,0
"P30","Nunca lo votaría",0.7,0.531,0.103,0.584,0.676,0.787
"P30","No sabe",0.088,0.057,0.038,0.211,0,0.213
"P31","Lo votaría",0.303,0.242,0.2,0.09,0.011,0.131
"P31","Puede que lo vote",0.097,0.161,0.107,0,0.333,0
"P31","Nunca lo votaría",0.455,0.501,0.654,0.703,0.656,0.869
"P31","No sabe",0.145,0.096,0.039,0.207,0,0
"P32","Si",0.484,0.4,0.39,0.205,0.168,0.122
"P32","No",0.516,0.6,0.61,0.795,0.832,0.878
"PRESIDENTE_imputada","Sergio Massa a presidente por Unión por la Patria",1,0,0,0,0,0
"PRESIDENTE_imputada","Patricia Bullrich a presidenta por Juntos por el Cambio",0,1,0,0,0,0
"PRESIDENTE_imputada","Javier Milei a presidente por la Libertad Avanza",0,0,1,0,0,0
"PRESIDENTE_imputada","Los candidatos a presidente de la Izquierda",0,0,0,1,0,0
"PRESIDENTE_imputada","Juan Schiaretti a presidente por Hacemos por Nuestro Pais",0,0,0,0,1,0
"PRESIDENTE_imputada","En blanco",0,0,0,0,0,1
"GOBERNADOR_imputada","Axel Kicillof a gobernador por Unión por la Patria",0.765,0.078,0.107,0.16,0.246,0.291
"GOBERNADOR_imputada","Néstor Grindetti a gobernador por Juntos por el Cambio",0.071,0.713,0.303,0.155,0.038,0.043
"GOBERNADOR_imputada","Carolina Piparo a gobernadora por la Libertad Avanza",0.136,0.183,0.563,0,0.014,0.464
"GOBERNADOR_imputada","El candidato a gobernador de la Izquierda",0.013,0.016,0.023,0.341,0.312,0
"GOBERNADOR_imputada","En blanco",0.015,0.01,0.004,0.344,0.39,0.202
"INTENDENTE_imputada","Gustavo Menéndez a intendente por Unión por la Patria",0.42,0.22,0.173,0.178,0.591,0.204
"INTENDENTE_imputada","Zencich a intendente por Juntos por el Cambio",0.164,0.566,0.35,0,0.052,0
"INTENDENTE_imputada","Eduardo Varela a intendente por la Libertad Avanza",0.042,0.082,0.34,0.225,0.012,0
"INTENDENTE_imputada","Raul Othacehé a intendente por el frente vecinal crecer",0.248,0.102,0.118,0.23,0.334,0.204
"INTENDENTE_imputada","El candidato a intendente de la Izquierda",0.077,0.013,0.017,0.262,0.011,0
"INTENDENTE_imputada","En blanco",0.049,0.017,0.002,0.105,0,0.592
