"var","categoria","Mauricio Macri presidente Patricia Bullrich vice","Alberto Fernández presidente Sergio Massa vice","Javier Milei presidente José Luis Espert vice","Horacio Rodríguez Larreta presidente Gerardo Morales vice","Cristina Fernández de Kirchner presidenta Jorge Capitanich vice","Otros candidatos"
"P04","Tengo trabajo estable",0.376,0.426,0.43,0.492,0.491,0.395
"P04","Realizo changas o trabajos de vez en cuando",0.195,0.192,0.261,0.141,0.17,0.218
"P04","No tengo trabajo",0.18,0.162,0.221,0.133,0.137,0.208
"P04","Soy jubilado o pensionado",0.249,0.22,0.088,0.234,0.202,0.179
"P05","Derecha",0.28,0.139,0.322,0.208,0.048,0.105
"P05","Centro derecha",0.294,0.072,0.195,0.184,0.047,0.12
"P05","Centro izquierda",0.076,0.272,0.051,0.193,0.408,0.142
"P05","Izquierda",0.069,0.133,0.06,0.126,0.207,0.136
"P05","No sabe",0.281,0.384,0.372,0.289,0.29,0.497
"P06","Muy importante",0.545,0.837,0.471,0.644,0.824,0.684
"P06","Algo importante",0.234,0.102,0.162,0.248,0.079,0.146
"P06","Nada importante",0.178,0.032,0.313,0.053,0.031,0.073
"P06","No sabe",0.043,0.029,0.054,0.055,0.066,0.097
"P07","Estoy de acuerdo",0.272,0.601,0.288,0.484,0.729,0.361
"P07","Debería realizarse solo en caso de violación o riesgo de vida de la madre",0.485,0.269,0.493,0.363,0.151,0.407
"P07","No estoy de acuerdo",0.199,0.083,0.181,0.121,0.073,0.181
"P07","No sabe",0.044,0.047,0.038,0.032,0.047,0.051
"P08","Frente de Todos y el peronismo",0.031,0.845,0.066,0.227,0.867,0.182
"P08","Cambiemos",0.73,0.061,0.034,0.446,0.016,0.159
"P08","Liberales y Javier Milei",0.196,0.016,0.848,0.14,0.013,0.098
"P08","Izquierda",0.003,0.029,0.016,0.019,0.042,0.161
"P08","No sabe",0.04,0.049,0.036,0.168,0.062,0.4
"P10","Lo votaría",0.136,0.395,0.199,0.218,0.193,0.1
"P10","Puede que lo vote",0.055,0.383,0.236,0.474,0.374,0.438
"P10","Nunca lo votaría",0.787,0.152,0.511,0.212,0.309,0.347
"P10","No sabe",0.022,0.07,0.054,0.096,0.124,0.115
"P11","Lo votaría",0.086,0.66,0.27,0.314,0.247,0.109
"P11","Puede que lo vote",0.289,0.268,0.146,0.288,0.411,0.314
"P11","Nunca lo votaría",0.603,0.044,0.541,0.261,0.24,0.376
"P11","No sabe",0.022,0.028,0.043,0.137,0.102,0.201
"P12","Lo votaría",0.427,0.167,0.344,0.58,0,0.252
"P12","Puede que lo vote",0.428,0.041,0.323,0.372,0.041,0.474
"P12","Nunca lo votaría",0.086,0.495,0.307,0.021,0.959,0.197
"P12","No sabe",0.059,0.297,0.026,0.027,0,0.077
"P13","Lo votaría",0.208,0.059,0.243,0.413,0.041,0.43
"P13","Puede que lo vote",0.385,0.085,0.297,0.376,0.041,0.248
"P13","Nunca lo votaría",0.322,0.578,0.403,0.155,0.918,0.283
"P13","No sabe",0.085,0.278,0.057,0.056,0,0.039
"P14","La votaría",0.692,0.129,0.425,0.287,0.041,0.324
"P14","Puede que la vote",0.231,0.059,0.177,0.423,0,0.356
"P14","Nunca la votaría",0.043,0.591,0.398,0.249,0.959,0.298
"P14","No sabe",0.034,0.221,0,0.041,0,0.022
"P15","Lo votaría",0.212,0,0.29,0.06,0,0.079
"P15","Puede que lo vote",0.295,0.095,0.419,0.178,0,0.128
"P15","Nunca lo votaría",0.458,0.743,0.291,0.705,1,0.744
"P15","No sabe",0.035,0.162,0,0.057,0,0.049
"P16","Sí, lo votaría",0.797,0.022,0.305,0.241,0.003,0.065
"P16","Puede que lo vote",0.164,0.034,0.218,0.228,0.012,0.095
"P16","Nunca lo votaría",0.03,0.919,0.384,0.504,0.952,0.688
"P16","No sabe",0.009,0.025,0.093,0.027,0.033,0.152
"P17","Sí, la votaría",0.148,0.629,0.054,0.137,0.873,0.07
"P17","Puede que la vote",0.04,0.152,0.034,0.125,0.067,0.149
"P17","Nunca la votaría",0.806,0.197,0.866,0.728,0.051,0.685
"P17","No sabe",0.006,0.022,0.046,0.01,0.009,0.096
"P18","Cristina Fernández de Kirchner por el Frente de Todos",0.025,0.844,0.032,0.217,0.94,0.072
"P18","Mauricio Macri por Cambiemos",0.739,0.005,0.015,0.203,0.003,0.041
"P18","Javier Milei por los liberales",0.176,0.018,0.853,0.165,0,0.042
"P18","Nicolás del Caño por la izquierda",0.003,0.012,0.019,0.022,0.014,0.096
"P18","Otro candidato",0.057,0.121,0.081,0.393,0.043,0.749
"P19","Horacio Rodríguez Larreta por Cambiemos",0.525,0.132,0.103,0.507,0.088,0.099
"P19","Alberto Fernández por el Frente de Todos",0.143,0.773,0.007,0.109,0.533,0.053
"P19","Javier Milei por los liberales",0.206,0.009,0.796,0.094,0.026,0.038
"P19","Nicolás del Caño por la izquierda",0.003,0.015,0.016,0.01,0.085,0.105
"P19","Otro candidato",0.123,0.071,0.078,0.28,0.268,0.705
"P20","Mauricio Macri presidente Javier Milei vice",0.819,0.04,0.541,0.166,0.019,0.092
"P20","Sergio Massa presidente Gerardo Morales vice",0.017,0.555,0.044,0.053,0.23,0.123
"P20","Nicolas del Caño presidente Myriam Bregman vice",0.007,0.054,0.09,0.047,0.152,0.126
"P20","No sabe",0.157,0.351,0.325,0.734,0.599,0.659
"P22","Muy buena",0.072,0.21,0.03,0.008,0.086,0.019
"P22","Buena",0.003,0.467,0.028,0.125,0.364,0.053
"P22","Ni buena ni mala",0.018,0.254,0.062,0.121,0.274,0.172
"P22","Mala",0.139,0.045,0.147,0.256,0.191,0.274
"P22","Muy mala",0.765,0.019,0.73,0.487,0.072,0.408
"P22","No sabe",0.003,0.005,0.003,0.003,0.013,0.074
"P23","Si",0.494,0.91,0.536,0.603,0.891,0.62
"P23","No",0.271,0.052,0.289,0.157,0.03,0.193
"P23","No sabe",0.235,0.038,0.175,0.24,0.079,0.187
"P24","El kirchnerismo",0.721,0.188,0.633,0.568,0.062,0.397
"P24","Cambiemos",0.073,0.389,0.073,0.13,0.342,0.12
"P24","Los medios de comunicación",0.041,0.298,0.058,0.132,0.431,0.156
"P24","Otros",0.09,0.044,0.099,0.076,0.067,0.132
"P24","No sabe",0.075,0.081,0.137,0.094,0.098,0.195
"P25","Sin deuda",0.293,0.343,0.24,0.278,0.388,0.224
"P25","Menos de 10%",0.182,0.157,0.164,0.204,0.173,0.141
"P25","Entre 10 y 20%",0.152,0.144,0.127,0.181,0.095,0.174
"P25","Entre 20 y 30%",0.132,0.06,0.123,0.095,0.062,0.14
"P25","Entre 30 y 40%",0.092,0.11,0.083,0.105,0.079,0.111
"P25","Mas del 40%",0.125,0.147,0.218,0.111,0.169,0.185
"P25","No sabe",0.024,0.039,0.045,0.026,0.034,0.025
"P26","Gran excedente habitual",0.005,0.005,0.005,0.005,0.005,0
"P26","Gran excedente excepcional",0.003,0.027,0.002,0,0.014,0.002
"P26","Pequeño excedente habitual",0.044,0.052,0.065,0.088,0.122,0.05
"P26","Pequeño excedente excepcional",0.058,0.069,0.058,0.091,0.056,0.049
"P26","Alcanza gastos familia",0.122,0.153,0.131,0.185,0.239,0.131
"P26","No alcanza gastos familia",0.162,0.143,0.14,0.176,0.145,0.179
"P26","Solo NBFamiliares",0.278,0.287,0.335,0.222,0.213,0.283
"P26","No alcanza NBFamiliares",0.319,0.254,0.26,0.219,0.198,0.301
"P26","No sabe",0.009,0.01,0.004,0.014,0.008,0.005
"P27","Muy buena",0.037,0.068,0.038,0.042,0.037,0.027
"P27","Buena",0.115,0.188,0.086,0.203,0.25,0.098
"P27","Ni buena ni mala",0.372,0.416,0.386,0.37,0.396,0.389
"P27","Mala",0.341,0.25,0.311,0.303,0.231,0.349
"P27","Muy mala",0.122,0.067,0.159,0.081,0.075,0.128
"P27","No sabe",0.013,0.011,0.02,0.001,0.011,0.009
"P28","Mejor",0.049,0.242,0.042,0.136,0.18,0.056
"P28","Igual",0.123,0.469,0.168,0.29,0.519,0.208
"P28","Peor",0.795,0.269,0.741,0.562,0.261,0.715
"P28","No sabe",0.033,0.02,0.049,0.012,0.04,0.021
"P29","Mejor",0.032,0.333,0.037,0.114,0.291,0.098
"P29","Igual",0.145,0.346,0.143,0.235,0.355,0.171
"P29","Peor",0.759,0.199,0.755,0.543,0.217,0.635
"P29","No sabe",0.064,0.122,0.065,0.108,0.137,0.096
"P30","Muy buena",0.046,0.042,0.074,0.055,0.025,0.048
"P30","Buena",0.036,0.171,0.006,0.058,0.154,0.016
"P30","Ni buena ni mala",0.032,0.365,0.025,0.13,0.323,0.082
"P30","Mala",0.197,0.348,0.231,0.253,0.346,0.326
"P30","Muy mala",0.688,0.062,0.663,0.504,0.129,0.522
"P30","No sabe",0.001,0.012,0.001,0,0.023,0.006
"P31","Muy buena",0.017,0.523,0.042,0.148,0.688,0.054
"P31","Buena",0.022,0.183,0.016,0.044,0.174,0.116
"P31","Ni buena ni mala",0.02,0.166,0.068,0.067,0.054,0.135
"P31","Mala",0.062,0.061,0.075,0.089,0.013,0.109
"P31","Muy mala",0.879,0.063,0.794,0.648,0.065,0.581
"P31","No sabe",0,0.004,0.005,0.004,0.006,0.005
"P32","Muy buena",0.01,0.33,0.012,0.043,0.091,0.057
"P32","Buena",0.027,0.423,0.046,0.1,0.339,0.056
"P32","Ni buena ni mala",0.041,0.173,0.097,0.139,0.336,0.2
"P32","Mala",0.145,0.045,0.123,0.239,0.142,0.201
"P32","Muy mala",0.776,0.026,0.719,0.479,0.084,0.483
"P32","No sabe",0.001,0.003,0.003,0,0.008,0.003
"P33","Muy buena",0.023,0.198,0.022,0.033,0.059,0.023
"P33","Buena",0.019,0.307,0.047,0.07,0.202,0.1
"P33","Ni buena ni mala",0.078,0.328,0.094,0.224,0.391,0.219
"P33","Mala",0.183,0.08,0.223,0.208,0.193,0.226
"P33","Muy mala",0.69,0.046,0.586,0.455,0.123,0.423
"P33","No sabe",0.007,0.041,0.028,0.01,0.032,0.009
"P34","Muy buena",0.023,0.406,0.042,0.122,0.547,0.047
"P34","Buena",0.04,0.303,0.042,0.094,0.215,0.08
"P34","Ni buena ni mala",0.038,0.171,0.069,0.077,0.126,0.195
"P34","Mala",0.105,0.053,0.106,0.15,0.024,0.141
"P34","Muy mala",0.793,0.065,0.735,0.544,0.079,0.507
"P34","No sabe",0.001,0.002,0.006,0.013,0.009,0.03
"P35","Muy buena",0.301,0.037,0.046,0.036,0.033,0.033
"P35","Buena",0.342,0.017,0.136,0.116,0.018,0.051
"P35","Ni buena ni mala",0.221,0.058,0.318,0.261,0.015,0.234
"P35","Mala",0.047,0.16,0.209,0.23,0.087,0.205
"P35","Muy mala",0.085,0.728,0.279,0.331,0.838,0.469
"P35","No sabe",0.004,0,0.012,0.026,0.009,0.008
"P36","Muy buena",0.275,0.034,0.08,0.187,0.031,0.058
"P36","Buena",0.357,0.056,0.17,0.303,0.029,0.15
"P36","Ni buena ni mala",0.214,0.198,0.318,0.246,0.083,0.331
"P36","Mala",0.061,0.263,0.177,0.103,0.223,0.173
"P36","Muy mala",0.09,0.424,0.233,0.144,0.594,0.248
"P36","No sabe",0.003,0.025,0.022,0.017,0.04,0.04
"P37","Muy buena",0.279,0.016,0.101,0.137,0.027,0.043
"P37","Buena",0.343,0.019,0.149,0.245,0.012,0.106
"P37","Ni buena ni mala",0.196,0.082,0.247,0.247,0.037,0.254
"P37","Mala",0.073,0.246,0.176,0.109,0.135,0.171
"P37","Muy mala",0.108,0.633,0.299,0.251,0.779,0.376
"P37","No sabe",0.001,0.004,0.028,0.011,0.01,0.05
"P38","Muy buena",0.151,0.022,0.518,0.067,0.045,0.051
"P38","Buena",0.248,0.059,0.17,0.14,0.037,0.086
"P38","Ni buena ni mala",0.37,0.136,0.145,0.319,0.067,0.312
"P38","Mala",0.095,0.133,0.021,0.15,0.075,0.16
"P38","Muy mala",0.117,0.555,0.13,0.275,0.719,0.317
"P38","No sabe",0.019,0.095,0.016,0.049,0.057,0.074
"P39","Muy buena",0.602,0.002,0.257,0.165,0.015,0.124
"P39","Buena",0.227,0.021,0.327,0.242,0.02,0.076
"P39","Ni buena ni mala",0.085,0.089,0.202,0.21,0.012,0.217
"P39","Mala",0.026,0.139,0.09,0.097,0.068,0.141
"P39","Muy mala",0.032,0.708,0.117,0.271,0.841,0.379
"P39","No sabe",0.028,0.041,0.007,0.015,0.044,0.063
"P40","Muy buena",0.029,0.131,0.013,0.051,0.065,0.033
"P40","Buena",0.098,0.29,0.055,0.13,0.256,0.088
"P40","Ni buena ni mala",0.253,0.344,0.134,0.271,0.344,0.241
"P40","Mala",0.339,0.137,0.313,0.277,0.19,0.317
"P40","Muy mala",0.26,0.064,0.459,0.262,0.109,0.271
"P40","No sabe",0.021,0.034,0.026,0.009,0.036,0.05
"P41","Muy buena",0.043,0.029,0.01,0.019,0.002,0.028
"P41","Buena",0.109,0.086,0.046,0.079,0.04,0.047
"P41","Ni buena ni mala",0.244,0.105,0.171,0.245,0.087,0.156
"P41","Mala",0.298,0.273,0.242,0.283,0.157,0.32
"P41","Muy mala",0.296,0.444,0.498,0.342,0.672,0.394
"P41","No sabe",0.01,0.063,0.033,0.032,0.042,0.055
