"var","categoria","Unión por la Patria","Juntos por el Cambio","Juntos Somos Río Negro","Liberales","Izquierda","Otro","No sabe"
"P06","Tiene Decidido que va a ir a votar",0.903,0.917,0.891,0.887,0.83,0.804,0.742
"P06","Tiene dudas sobre si va a ir a  votar",0.044,0.061,0.095,0.086,0.084,0.142,0.186
"P06","Tiene Decidido que no va a ir a votar",0.053,0.022,0.014,0.027,0.086,0.054,0.072
"P07","Mucho",0.561,0.553,0.381,0.515,0.553,0.532,0.268
"P07","Bastante",0.282,0.245,0.376,0.249,0.186,0.163,0.207
"P07","Poco",0.088,0.118,0.129,0.163,0.026,0.153,0.197
"P07","Nada",0.067,0.049,0.092,0.072,0.173,0.093,0.242
"P07","No sabe",0.002,0.035,0.022,0.001,0.062,0.059,0.086
"P08","Siempre",0.219,0.202,0.275,0.254,0.269,0.193,0.083
"P08","Casi siempre",0.32,0.46,0.282,0.281,0.142,0.31,0.258
"P08","Casi nunca",0.285,0.247,0.325,0.285,0.378,0.381,0.302
"P08","Nunca, pero esta es una excepción",0.176,0.091,0.118,0.18,0.211,0.116,0.357
"P13","Sergio Massa a Presidente, Agustín Rossi a Vicepresidente y Martín Soria a Diputado Nacional por Unión por la Patria",0.82,0.105,0.117,0.007,0.146,0.094,0.207
"P13","Patricia Bullrich a Presidente, Luis Petri a Vicepresidente y Sergio Capozzi a Diputado Nacional por Juntos por el Cambio",0.015,0.715,0.159,0.072,0.081,0.061,0.075
"P13","Luis Di Giacomo a Diputado Nacional por Juntos somos Rio Negro",0.048,0.064,0.338,0.023,0.058,0.083,0.037
"P13","Javier Milei a Presidente, Victoria Villarruel a Vicepresidente y Lorena Villaverde a Diputada Nacional por la Libertad Avanza",0.091,0.076,0.322,0.887,0.223,0.414,0.282
"P13","Myriam Bregman a Presidente, Nicolas del Caño a Vicepresidente y Alhue Gavuzzo a Diputada Nacional por el Frente de Izquierda",0.009,0.006,0.014,0.001,0.295,0.018,0.016
"P13","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente",0.012,0.007,0.001,0.003,0.04,0.182,0.027
"P13","En blanco",0.003,0.006,0.005,0,0,0.032,0.029
"P13","No sabe",0.002,0.021,0.044,0.007,0.157,0.116,0.327
"P17","Totalmente seguro",0.749,0.714,0.53,0.784,0.511,0.452,0.429
"P17","Bastante seguro",0.098,0.131,0.166,0.086,0.153,0.167,0.136
"P17","Algo seguro",0.082,0.073,0.196,0.093,0.095,0.187,0.118
"P17","Para nada seguro",0.071,0.082,0.108,0.037,0.241,0.194,0.317
"P18","Sergio Massa a Presidente, Agustín Rossi a Vicepresidente por Unión por la Patria",0.364,0,0.324,0.492,0.186,0,0.134
"P18","Patricia Bullrich a Presidente, Luis Petri a Vicepresidente por Juntos por el Cambio",0.066,0.586,0.178,0.259,0,0,0
"P18","Javier Milei a Presidente, Victoria Villarruel a Vicepresidente por la Libertad Avanza",0,0,0.104,0.249,0.198,1,0.085
"P18","Myriam Bregman a Presidente, Nicolas del Caño a Vicepresidente el Frente de Izquierda",0.012,0.046,0,0,0.308,0,0
"P18","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente",0,0.065,0.01,0,0,0,0
"P18","En blanco",0.558,0.303,0.3,0,0.308,0,0.466
"P18","No sabe",0,0,0.084,0,0,0,0.315
"P21","Sí",0.139,0.511,0.764,0.929,0.716,0.6,0.576
"P21","No",0.861,0.489,0.236,0.071,0.284,0.4,0.424
"P22","Martín Soria a Diputado Nacional por Unión por la Patria",0.37,0.149,0.094,0.041,0.078,0.317,0.143
"P22","Sergio Capozzi a Diputado Nacional por Juntos por el Cambio",0.033,0.555,0.156,0.066,0.47,0.062,0.046
"P22","Luis Di Giacomo a Diputado Nacional por Juntos somos Rio Negro",0.181,0.032,0.334,0.107,0.112,0.036,0.039
"P22","Lorena Villaverde a Diputada Nacional por la Libertad Avanza",0.267,0.107,0.255,0.496,0.229,0.13,0.448
"P22","Alhue Gavuzzo a Diputada Nacional por el Frente de Izquierda",0.007,0.006,0.146,0.024,0.015,0,0
"P22","En blanco",0.085,0,0,0.058,0.052,0.217,0.04
"P22","No sabe",0.057,0.151,0.015,0.208,0.044,0.238,0.284
"P26","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.876,0.337,0.309,0.039,0.371,0.138,0.368
"P26","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.031,0.618,0.364,0.42,0.036,0.377,0.096
"P26","En blanco",0.05,0.021,0.065,0.315,0.088,0.104,0.222
"P26","No sabe",0.043,0.024,0.262,0.226,0.505,0.381,0.314
"P27","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.136,0.549,0.276,0.053,0.05,0.029,0.084
"P27","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.14,0.208,0.448,0.91,0.663,0.598,0.471
"P27","En blanco",0.546,0.174,0.141,0.017,0.113,0.261,0.129
"P27","No sabe",0.178,0.069,0.135,0.02,0.174,0.112,0.316
"P28","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.852,0.419,0.311,0.026,0.133,0.189,0.232
"P28","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.098,0.446,0.574,0.946,0.791,0.627,0.514
"P28","En blanco",0.035,0.1,0.066,0.012,0,0.161,0.072
"P28","No sabe",0.015,0.035,0.049,0.016,0.076,0.023,0.182
"P29","Lo votaría",0.919,0.359,0.292,0.009,0.079,0.024,0.278
"P29","Puede que lo vote",0.033,0.18,0.16,0.072,0.262,0.126,0.116
"P29","Nunca lo votaría",0.028,0.417,0.506,0.852,0.448,0.762,0.46
"P29","No sabe",0.02,0.044,0.042,0.067,0.211,0.088,0.146
"P30","Lo votaría",0.103,0.509,0.16,0.068,0.05,0.256,0.032
"P30","Puede que lo vote",0.027,0.115,0.265,0.348,0.235,0.126,0.277
"P30","Nunca lo votaría",0.822,0.3,0.527,0.412,0.469,0.482,0.423
"P30","No sabe",0.048,0.076,0.048,0.172,0.246,0.136,0.268
"P31","Lo votaría",0.079,0.198,0.199,0.004,0,0.047,0.038
"P31","Puede que lo vote",0.143,0.133,0.296,0.25,0.245,0.132,0.103
"P31","Nunca lo votaría",0.67,0.572,0.278,0.468,0.404,0.658,0.516
"P31","No sabe",0.108,0.097,0.227,0.278,0.351,0.163,0.343
"P32","Lo votaría",0.094,0.163,0.519,0.9,0.616,0.582,0.476
"P32","Puede que lo vote",0.037,0.261,0.153,0.067,0.043,0.25,0.08
"P32","Nunca lo votaría",0.818,0.486,0.307,0.028,0.182,0.137,0.226
"P32","No sabe",0.051,0.09,0.021,0.005,0.159,0.031,0.218
"P33","Lo votaría",0.088,0.102,0.038,0.039,0.325,0.152,0.015
"P33","Puede que lo vote",0.259,0.182,0.202,0.038,0.09,0.043,0.064
"P33","Nunca lo votaría",0.563,0.676,0.617,0.842,0.353,0.581,0.62
"P33","No sabe",0.09,0.04,0.143,0.081,0.232,0.224,0.301
"P34","Si",0.43,0.288,0.5,0.303,0.409,0.222,0.352
"P34","No",0.57,0.712,0.5,0.697,0.591,0.778,0.648
"PRESIDENTE","Sergio Massa a Presidente, Agustín Rossi a Vicepresidente por Unión por la Patria",0.835,0.105,0.212,0.013,0.175,0.094,0.211
"PRESIDENTE","Patricia Bullrich a Presidente, Luis Petri a Vicepresidente por Juntos por el Cambio",0.019,0.759,0.243,0.083,0.081,0.06,0.075
"PRESIDENTE","Javier Milei a Presidente, Victoria Villarruel a Vicepresident por la Libertad Avanza",0.091,0.076,0.366,0.893,0.227,0.498,0.286
"PRESIDENTE","Myriam Bregman a Presidente, Nicolas del Caño a Vicepresidente por el Frente de Izquierda",0.01,0.007,0.014,0.001,0.308,0.018,0.016
"PRESIDENTE","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente",0.012,0.009,0.003,0.003,0.04,0.182,0.027
"PRESIDENTE","En blanco",0.031,0.023,0.097,0,0.012,0.032,0.049
"PRESIDENTE","No sabe",0.002,0.021,0.065,0.007,0.157,0.116,0.336
"DIPUTADOS","Martín Soria a Diputado Nacional por Unión por la Patria",0.802,0.319,0.128,0.04,0.229,0.237,0.293
"DIPUTADOS","Sergio Capozzi a Diputado Nacional por Juntos por el Cambio",0.016,0.315,0.065,0.076,0.285,0.018,0.02
"DIPUTADOS","Luis Di Giacomo a Diputado Nacional por Juntos somos Rio Negro",0.083,0.199,0.621,0.116,0.266,0.168,0.101
"DIPUTADOS","Lorena Villaverde a Diputada Nacional por la Libertad Avanza",0.074,0.08,0.12,0.492,0.151,0.266,0.309
"DIPUTADOS","Alhue Gavuzzo a Diputada Nacional por el Frente de Izquierda",0.004,0.018,0.061,0.017,0.018,0,0
"DIPUTADOS","En blanco",0.014,0,0,0.054,0.033,0.193,0.036
"DIPUTADOS","No sabe",0.007,0.069,0.005,0.205,0.018,0.118,0.241
