"clase","Todos","Hombres","Mujeres","16-29 a単os","30-49 a単os","50-64 a単os","65+ a単os","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Weretilneck","Tortoriello","Horne","Massa","Milei","Alto Valle","Comarca Andina","Resto","opciones"
"Muy buena",0.059,0.045,0.073,0.041,0.036,0.096,0.082,0.072,0.032,0.083,0.131,0.043,0,0.024,0.108,0,0,0,6
"Buena",0.129,0.099,0.158,0.159,0.114,0.131,0.133,0.112,0.097,0.187,0.175,0.238,0.067,0.075,0.156,0,0,0,6
"Ni buena ni mala",0.401,0.42,0.383,0.121,0.479,0.423,0.451,0.335,0.531,0.29,0.347,0.458,0.352,0.312,0.536,0,0,0,6
"Mala",0.15,0.181,0.119,0.188,0.132,0.155,0.149,0.078,0.16,0.205,0.157,0.105,0.162,0.191,0.094,0,0,0,6
"Muy mala",0.21,0.235,0.187,0.406,0.209,0.136,0.13,0.389,0.118,0.164,0.143,0.103,0.405,0.378,0.052,0,0,0,6
"No sabe",0.051,0.02,0.08,0.085,0.03,0.059,0.055,0.014,0.062,0.071,0.047,0.053,0.014,0.02,0.054,0,0,0,6
"Positiva",0.188,0.144,0.231,0.2,0.15,0.227,0.215,0.184,0.129,0.27,0.306,0.281,0.067,0.099,0.264,0,0,0,4
"Neutra",0.401,0.42,0.383,0.121,0.479,0.423,0.451,0.335,0.531,0.29,0.347,0.458,0.352,0.312,0.536,0,0,0,4
"Negativa",0.36,0.416,0.306,0.594,0.341,0.291,0.279,0.467,0.278,0.369,0.3,0.208,0.567,0.569,0.146,0,0,0,4
"No sabe",0.051,0.02,0.08,0.085,0.03,0.059,0.055,0.014,0.062,0.071,0.047,0.053,0.014,0.02,0.054,0,0,0,4
