"clase","Opinión","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Centro","Norte","Sur","Fernandez","Macri","Lavagna"
"Patricia Bullrich","Positiva",0.46,0.484,0.44,0.509,0.409,0.457,0.555,0.449,0.46,0.472,0.437,0.522,0.457,0.162,0.719,0.355
"Patricia Bullrich","Neutra",0.107,0.13,0.088,0.11,0.117,0.104,0.078,0.13,0.081,0.12,0.099,0.107,0.114,0.108,0.077,0.026
"Patricia Bullrich","Negativa",0.393,0.342,0.436,0.322,0.432,0.416,0.329,0.384,0.404,0.387,0.41,0.333,0.402,0.679,0.172,0.619
"Patricia Bullrich","No sabe",0.04,0.044,0.036,0.059,0.042,0.023,0.038,0.037,0.055,0.021,0.054,0.038,0.027,0.051,0.032,0
"Julio Zamora","Positiva",0.414,0.386,0.439,0.433,0.418,0.373,0.441,0.356,0.487,0.359,0.4,0.359,0.448,0.664,0.24,0.472
"Julio Zamora","Neutra",0.228,0.228,0.229,0.245,0.171,0.241,0.354,0.271,0.196,0.235,0.195,0.241,0.256,0.171,0.275,0.188
"Julio Zamora","Negativa",0.309,0.348,0.274,0.253,0.373,0.31,0.192,0.318,0.274,0.355,0.341,0.359,0.258,0.14,0.418,0.285
"Julio Zamora","No sabe",0.049,0.038,0.058,0.069,0.038,0.076,0.013,0.055,0.043,0.051,0.064,0.041,0.038,0.025,0.067,0.055
"Horacio Rodriguez Larreta","Positiva",0.352,0.368,0.339,0.333,0.317,0.343,0.486,0.401,0.33,0.333,0.373,0.282,0.359,0.131,0.566,0.371
"Horacio Rodriguez Larreta","Neutra",0.199,0.202,0.196,0.169,0.189,0.228,0.216,0.201,0.224,0.161,0.171,0.27,0.197,0.177,0.195,0.097
"Horacio Rodriguez Larreta","Negativa",0.416,0.399,0.43,0.483,0.457,0.398,0.253,0.357,0.408,0.488,0.421,0.423,0.409,0.65,0.211,0.532
"Horacio Rodriguez Larreta","No sabe",0.033,0.031,0.035,0.015,0.037,0.031,0.045,0.041,0.038,0.018,0.035,0.025,0.035,0.042,0.028,0
"Javier Milei","Positiva",0.333,0.426,0.255,0.544,0.316,0.278,0.233,0.343,0.323,0.338,0.296,0.391,0.346,0.177,0.405,0.449
"Javier Milei","Neutra",0.233,0.203,0.257,0.131,0.204,0.272,0.36,0.249,0.229,0.221,0.24,0.19,0.242,0.147,0.337,0.137
"Javier Milei","Negativa",0.389,0.344,0.428,0.325,0.437,0.387,0.335,0.343,0.4,0.421,0.393,0.392,0.384,0.648,0.198,0.414
"Javier Milei","No sabe",0.045,0.027,0.06,0,0.043,0.063,0.072,0.065,0.048,0.02,0.071,0.027,0.028,0.028,0.06,0
"Segundo Cernadas","Positiva",0.329,0.307,0.35,0.284,0.298,0.339,0.458,0.299,0.342,0.34,0.289,0.387,0.344,0.174,0.493,0.307
"Segundo Cernadas","Neutra",0.293,0.306,0.281,0.273,0.278,0.316,0.326,0.326,0.244,0.335,0.3,0.26,0.3,0.264,0.274,0.428
"Segundo Cernadas","Negativa",0.279,0.325,0.237,0.325,0.338,0.24,0.114,0.267,0.299,0.262,0.326,0.257,0.244,0.48,0.126,0.192
"Segundo Cernadas","No sabe",0.099,0.062,0.132,0.118,0.086,0.105,0.102,0.108,0.115,0.063,0.085,0.096,0.112,0.082,0.107,0.073
"Mauricio Macri","Positiva",0.322,0.304,0.337,0.221,0.274,0.358,0.512,0.319,0.319,0.328,0.314,0.393,0.3,0.096,0.575,0.056
"Mauricio Macri","Neutra",0.163,0.153,0.17,0.179,0.166,0.155,0.146,0.211,0.133,0.157,0.182,0.116,0.163,0.104,0.164,0.22
"Mauricio Macri","Negativa",0.506,0.531,0.486,0.6,0.547,0.472,0.34,0.448,0.543,0.512,0.499,0.468,0.529,0.8,0.249,0.724
"Mauricio Macri","No sabe",0.009,0.012,0.007,0,0.013,0.015,0.002,0.022,0.005,0.003,0.005,0.023,0.008,0,0.012,0
"CFK","Positiva",0.286,0.255,0.311,0.219,0.337,0.264,0.25,0.246,0.329,0.262,0.28,0.324,0.276,0.556,0.135,0.133
"CFK","Neutra",0.065,0.039,0.088,0.081,0.06,0.08,0.04,0.07,0.067,0.058,0.078,0.042,0.062,0.099,0.015,0
"CFK","Negativa",0.628,0.688,0.579,0.653,0.574,0.656,0.71,0.673,0.584,0.65,0.621,0.634,0.634,0.324,0.823,0.867
"CFK","No sabe",0.021,0.018,0.022,0.047,0.029,0,0,0.011,0.02,0.03,0.021,0,0.028,0.021,0.027,0
"Malena Galmarini","Positiva",0.281,0.277,0.286,0.241,0.317,0.253,0.274,0.28,0.316,0.229,0.3,0.221,0.289,0.48,0.15,0.172
"Malena Galmarini","Neutra",0.206,0.189,0.222,0.224,0.175,0.24,0.219,0.249,0.193,0.181,0.199,0.247,0.196,0.237,0.178,0.145
"Malena Galmarini","Negativa",0.451,0.484,0.42,0.45,0.45,0.463,0.439,0.391,0.433,0.543,0.447,0.483,0.441,0.249,0.589,0.624
"Malena Galmarini","No sabe",0.062,0.05,0.072,0.085,0.058,0.044,0.068,0.08,0.058,0.047,0.054,0.049,0.074,0.034,0.083,0.059
"Sergio Massa","Positiva",0.237,0.239,0.235,0.225,0.225,0.26,0.247,0.28,0.233,0.198,0.224,0.208,0.26,0.398,0.133,0.074
"Sergio Massa","Neutra",0.166,0.169,0.162,0.162,0.162,0.141,0.217,0.159,0.2,0.122,0.207,0.115,0.146,0.218,0.128,0.046
"Sergio Massa","Negativa",0.574,0.576,0.573,0.613,0.578,0.574,0.521,0.539,0.531,0.674,0.541,0.65,0.576,0.364,0.711,0.88
"Sergio Massa","No sabe",0.023,0.016,0.03,0,0.035,0.025,0.015,0.022,0.036,0.006,0.028,0.027,0.018,0.02,0.028,0
"Alberto Fernandez","Positiva",0.234,0.245,0.224,0.226,0.255,0.208,0.225,0.286,0.277,0.116,0.234,0.295,0.21,0.382,0.134,0.133
"Alberto Fernandez","Neutra",0.158,0.152,0.163,0.08,0.185,0.181,0.138,0.19,0.141,0.151,0.16,0.185,0.145,0.257,0.088,0.135
"Alberto Fernandez","Negativa",0.591,0.592,0.591,0.652,0.55,0.605,0.614,0.498,0.562,0.73,0.599,0.511,0.616,0.342,0.763,0.732
"Alberto Fernandez","No sabe",0.017,0.011,0.022,0.042,0.01,0.006,0.023,0.026,0.02,0.003,0.007,0.009,0.029,0.019,0.015,0
"Nicolás Massot","Positiva",0.186,0.211,0.163,0.198,0.152,0.16,0.308,0.23,0.163,0.176,0.169,0.151,0.215,0.14,0.26,0.145
"Nicolás Massot","Neutra",0.323,0.344,0.304,0.273,0.317,0.374,0.323,0.338,0.309,0.331,0.325,0.352,0.31,0.289,0.337,0.213
"Nicolás Massot","Negativa",0.206,0.235,0.181,0.197,0.252,0.189,0.115,0.144,0.234,0.227,0.206,0.189,0.215,0.253,0.133,0.595
"Nicolás Massot","No sabe",0.285,0.21,0.352,0.332,0.279,0.277,0.254,0.288,0.294,0.266,0.3,0.308,0.26,0.318,0.27,0.047
"Juan Laborde Rodríguez","Positiva",0.077,0.077,0.076,0.068,0.081,0.078,0.072,0.126,0.065,0.044,0.057,0.113,0.081,0.084,0.062,0.065
"Juan Laborde Rodríguez","Neutra",0.327,0.368,0.289,0.277,0.301,0.391,0.365,0.362,0.306,0.322,0.308,0.317,0.348,0.315,0.343,0.371
"Juan Laborde Rodríguez","Negativa",0.159,0.187,0.135,0.25,0.178,0.112,0.068,0.111,0.187,0.168,0.152,0.17,0.163,0.17,0.131,0.23
"Juan Laborde Rodríguez","No sabe",0.437,0.368,0.5,0.405,0.44,0.419,0.495,0.401,0.442,0.466,0.483,0.4,0.408,0.431,0.464,0.334
